dept_id,department
23371,William C. Goudy Technology Ac
29301,Ole A Thorp Scholastic Academy
29021,Burnside Scholastic Academy
23711,Helen M Hefferan School
22601,Rachel Carson Elem
22101,Avalon Park Elem
29281,Mark Skinner School
24451,Francis M Mckay School
29271,Harriet E Sayre Language Acad
23211,Eugene Field School
25401,Washington D Smyser School
46311,William Howard Taft High Schoo
47081,Von Steuben Metro Sci HS
25831,John Whistler School
24191,Abraham Lincoln School
24871,Ferdinand W Peck School
24801,Luke O'Toole School
24971,John T Pirie Fine Arts & Acad
24171,Arthur A Libby School
22571,Carroll-Rosenwald Specialty
24381,Roswell B Mason School
25361,James Shields Elem School
25791,Daniel Webster School
25411,John M Smyth School
24071,John H Kinzie School
24931,Irma C Ruiz School
29321,Beasley Magnet Acad Ctr
23871,Thomas Hoyne School
24301,James Madison School
25141,Philip Rogers School
24691,Alfred Nobel School
26251,Irvin C Mollison School
23291,Frederick Funston School
49081,Jacqueline B Vaughn Occ HS
25781,Thomas J Waters School
51021,Harlan Community Academy HS
29401,Walt Disney Magnet School
31041,Crown Comm Acad Fine Arts Ct
23101,Ellington Elem
29361,Ted Lenart Regional Gifted Cen
22421,Augustus Burley Elem
22991,Doolittle Elem
23301,John W Garvy School
31201,Parkside Community Academy
22741,Grover Cleveland School
24951,Marcus Moziah Garvey School
26841,North River School
41091,Logandale Middle
22861,Manuel Perez Elem
22891,Nathan S Davis School & Annex
22281,Scott Joplin School
25681,Alessandro Volta School
53021,Dunbar Vocational Career Acad
25921,Ella Flagg Young School
49021,Northside Learning Center
46371,King College Prep HS
22021,Jane Addams Elem
23261,Foster Park School
22271,Daniel Boone Elem
31221,Charles Sumner Mth/Sci Com Acd
29191,Inter-American Magnet School
24331,Horace Mann School
47031,Emil G Hirsch Metro HS
24101,Rodolfo Lozano Bil & Intrnl Ct
22731,Henry Clay School
46251,Morgan Park High School
53051,Ellen H Richards Career Acad
30031,Walter Christopher School
25561,Elizabeth H Sutherland School
67021,Peace and Educ Coalition
25181,Martha M Ruggles School
31111,John Hay Comm Academy School
24571,Morrill Math and Sci Elem
25091,Reavis Math and Science
23481,John C Haines School
29121,Frank W Gunsaulus Schol Acad
23251,Joseph Kellman Corp Comm Sch
